Title,Tags
"Does a property given to a spouse in a first marriage still get shared in a death after a second mariage?","<marriage><death><trusts-and-estates><south-africa>"
"Meaning: 'the defendant offers to absorb the fees of the class lawyer, calculated at a premium rate'","<class-action>"
"Why would a split legal profession explain why 'the rules of court in many [such] jurisdictions are cast as regulations rather than as statutes'?","<civil-procedure>"
"Tenant not vacating property(GERMANY)","<contract-law><rental-property><germany>"
"Can I use the copyright symbol and rights statement if I haven't registered the copyright?","<copyright><trademark><copyright-notice>"
"US laws of firing an employee","<united-states><contract><employment><texas>"
"Can we copyright a product without revealing our identity?","<copyright><privacy>"
"Is it unconstitutional for sellers to have higher minimum age for gun purchases than the federal government?","<united-states><firearms><second-amendment>"
"Meaning of ""The right to disclaim property or an interest therein is barred by...""?","<statutes><utah><probate><inheritance>"
"Why create an intellectual property holding company as a parent, subsidiary, or separate entity?","<intellectual-property><liability><tax-law><corporate-law>"
"Who can give the police consent to search my property?","<united-states><search-and-seizure><fourth-amendment>"
"Do courts in a common law system ever make decisions about law without a presented case?","<common-law><case-law>"
"What slaughter laws exist in the US and Europe?","<united-states><european-union><food>"
"Is it lawful to publicly show a video of a minor burglarizing one's house?","<privacy><police><theft><minor><recording>"
"When is it OK for law enforcement/intelligence-gathering agents to go undercover as journalists?","<united-states><fourth-amendment><first-amendment><journalism><undercover>"
"What is the obligation for a lawyer to present a deal from the opposing party to his/her client(s) called?","<legal-terms><lawyer>"
"Does asking money to not press a criminal charge also constitute extortion?","<criminal-law><california>"
"Why mention that you are not a lawyer if you are not providing legal advice?","<disclaimers><unlicensed-practice>"
"Lossless version as proof of copyright in court, alternative protection measures","<copyright><intellectual-property><authorship>"
"Is there a law that forces an employee to pay into social security?","<united-states><employment>"
"Using Nintendo copyrighted Pictures in a booklet","<copyright><austria>"
"Are attorneys, as officers allowed to advocate for positions in supposedly-neutral courtrooms?","<united-states><ohio><advocacy>"
"Reinterpretation of copyrighted work in another medium (film to song)","<copyright><intellectual-property>"
"Legal status of ""no copyright infringement intended""","<copyright><internet><disclaimers>"
"Can I use the copyright symbol on my website without registration of copyright in India?","<copyright><india><copyright-notice>"
"Are US states bound by the US constitution when it comes to gun rights?","<us-constitution>"
"Want to avoid sharing spouses debt liability in CA (community property state)","<united-states><community-property>"
"Can victims respond to victim-blaming in court?","<united-states><court><rape>"
"What power does a tenant have when another tenant is smoking and partying in the property?","<united-kingdom><rental-property><ireland>"
"What are the copyright terms on patents?","<copyright><patents>"
"Why register a logo as trademark if copyright protects it?","<copyright><trademark>"
"If someone found out after the wedding that their partner had been sterilized, what rights would they have?","<united-states><marriage><annulment>"
"Will my app i'm building be breaching any copyright laws","<copyright><music>"
"Procedure if two separate district courts issue nationwide and contradictory injunctions?","<united-states><constitutional-law><us-constitution><injuction>"
"How to interpret this paragraph from an MNDA in context with Ohio law?","<united-states><contract-law><non-disclosure><ohio>"
"Why can't lawyers lower their fees to match unmet demand, rather than leaving legal practice?","<lawyer>"
"Why's it ironic for Big Law and law schools to compete in rankings, even if they disagree with the method or think it is detrimental to their mission?","<lawyer>"
"Follow up on interpreting a paragrapgh from an MNDA in context to Ohio law","<united-states><contract-law><non-disclosure><ohio>"
"Stealing my own property back?","<criminal-law><property><theft><ownership>"
"Do laws against libel and slander [malice] also apply to incomplete information?","<united-states><constitutional-law><libel><slander><first-amendment>"
"Where can I find the past laws for the state of Kansas?","<legal-history><kansas>"
"Copyright IP of own effort and the boundaries of ""Capital asset"" in IRS tax law, wrt. donations","<united-states><copyright><intellectual-property><tax-law><non-profit>"
"In a contract, should exceptions be stated to a clause if they're required by law?","<contract-law><contract>"
"Grand Jury and criminal procedure","<comparative-law>"
"Is consent required by law to take a picture or to record audio / video of a conference talk?","<privacy><academia>"
"Avoiding law suits with product comparisons","<united-states><new-york><corporate-law><libel>"
"IP rights for using quotes?","<intellectual-property>"
"Is there a difference between ""illegal activity"" and ""criminal activity""?","<contract-law><legal-terms>"
"How does 911 legally record calls?","<united-states><privacy>"
"Does U.S. law require reporting of suspected child abuse by unrelated citizens?","<united-states><criminal-law><good-samaritan>"
"Is uploading game cheats to YouTube an infringement upon copyrights?","<copyright>"
"Acceptable use of trademark or logo for web links","<copyright><intellectual-property><trademark>"
"Where can one go to find caselaw of US federal criminal statutes?","<legal-research><case-law>"
"How to get a copyright on a video game?","<copyright>"
"Who owns the copyright on a Siri recording?","<copyright>"
"Can the original copyright holder issue DMCA takedown requests on infringements of second-order derivative works?","<united-states><copyright><creative-commons><dmca>"
"Who owns the copyright on a Polly recording?","<copyright>"
"Is plaintiff responsibility to 'mitigate their damages' a law?","<contract-law>"
"What are the legal repercussions of taking a stranger's picture in public?","<united-states><privacy><right-of-publicity><photography>"
"Do law students truly need to read judicial opinions entirely?","<legal-education>"
"How does the law guarantee true disregard by jurors?","<trial><jury>"
"What is the legal status of ""warrant canaries""?","<united-states><freedom-of-speech>"
"Can I waive my statutory rights?","<european-union><terms-of-service><waivers><rights>"
"Multiple LLC's lawsuit question","<united-states><business><liability>"
"Do running lights satisfy laws requiring headlights be on when wipers are on?","<traffic><driving><vehicle><massachusetts>"
"Process to make a copyrighted book freely available","<copyright>"
"What happens to struck-down laws when the decision(s) that killed them are reversed?","<process><comparative-law><judicial-review><precedent>"
"What is considered ""too similar"" in copyright? Game Development Specific","<copyright><european-union>"
"Can I deny access to a jointly-owned property to protect my own property?","<california><rental-property>"
"Contradictions in the Constitution regarding property rights?","<constitutional-law><us-constitution>"
"Are there any kinds of laws that prohibit personally harmful speech?","<criminal-law><freedom-of-speech><comparative-law>"
"What is the authority of the clerk of court?","<united-states><court>"
"Is there any way to bring a criminal case before the grand jury without the support of the Prosecuting Attorney?","<criminal-law><united-states>"
"How to prevent/protect my rights to content I write (US)","<united-states><copyright>"
"My company handed me a letter today telling me I owe them money because they overpaid me. Do I legally have to pay them?","<united-states><labor-law><salary>"
"Can residences be repossessed as with other real property?","<property><repossession><ownership>"
"Can official information protected by attorney-client privilege be shared with personal lawyer?","<united-states><attorney-client-privilege>"
"Why can't a party raise new arguments in United States court of appeals?","<united-states><rules-of-court>"
"What legal standing do non-compete clauses have in employment contracts?","<employment><competition>"
"Is “do not resuscitate” on a t-shirt a legal order?","<united-states><health>"
"When is ignorance a legal defense?","<united-states><legal-concepts>"
"Has a common law defence ever held water?","<united-kingdom><common-law><driving><magna-carta>"
"What methods exist to provide relief in criminal cases where the state refuses to prosecute?","<united-states><criminal-law>"
"Is it illegal to listen to Air Traffic Control transmissions in the UK?","<united-kingdom><radio><aviation>"
"What do you do if your consulate general violates the law?","<international>"
"What are the drinking age laws in Germany?","<germany><alcohol><age>"
"Is there a legal reason why fictional shows use imitation brand names?","<intellectual-property>"
"When should one represent oneself in court?","<civil-procedure>"
"How to self-learn law today, like those lawyers in the past who never went to law school?","<legal-education>"
"In the past, how did lawyers learn the academic side of law?","<legal-education><legal-history>"
"When has Judicial Review not been the process used to deem an act unconstitutional?","<united-states><judicial-review>"
"What rights do foreigners have when the CBP wants to search their laptop?","<united-states><search-and-seizure><fourth-amendment>"
"What laws are there regarding being pulled over by an unmarked cop car/undercover cop?","<united-states><police><driving>"
"Does a boilerplate legal disclaimer protect authors of content on a website?","<united-states><internet>"
"Can a spyware or a virus act legally with EULA?","<united-states><united-kingdom><eula><software>"
"Marital Rape as Defined by Indian Law","<criminal-law><indian-penal-code><rape><india>"
"Can the UN Security Council authorize states to violate international humanitarian law?","<international><united-nations-charter><un-security-council>"
"Does the gavel have a legal significance, or is it purely ceremonial?","<united-states><rules-of-court><judge>"
"Is it legal for landlord to prohibit subleasing, under Texas law?","<united-states><residential-lease><damage-mitigation><sublease><texas>"
"Is the judge allowed to nullify laws?","<jury-nullification><california><judging><judge>"
"Am I legally obligated to get a driver's license after moving?","<united-states><driving><washington><arizona>"
"Is performance of a copyrighted written music copyright infringement?","<copyright><music>"
"How does Australian law consider a marriage in which one person has subsequently transitioned?","<australia><marriage><transgender>"
"Can a lawyer purposefully be argumentative and immediately withdraw a line of questioning?","<rules-of-court>"
"In technology contractor employment law what does ""lump sum"" mean?","<united-states><contract-law><employment>"
"caused accident in company car - do I need a lawyer?","<california><traffic><insurance><lawyer>"
"Where can one find authoritative answers and explanations of traffic laws?","<united-states><traffic><legal-research>"
"Is a profit à prendre identical to ""mineral rights"", or is there some difference?","<massachusetts><easement>"
"Is it a contract: HOA Bylaws?","<contract-law>"
"Synonyms for 'non-court' venues","<mediation>"
"How is it possible to be on the wrong end of civil forfeiture while not engaging in criminal activity?","<search-and-seizure>"
"What effect does it have when something contains the phrase ""copyright 2018 MrAuthor""","<contract-law><intellectual-property>"
"What happened to the anti-tipping laws?","<business><commerce><labor-law>"
"Can copyrighted work be distributed for free if it was done so by the owner previously?","<copyright><united-kingdom><european-union><online-piracy>"
"Why haven't jurists corrected the ambiguity of 'civil law'?","<civil-law>"
"What is the U.S. law that lets the president “protect industry on grounds of national security”?","<united-states>"
"Rape/Sexual assault: Any tort laws apply? (US)","<united-states><tort><rape><sexual-assault>"
"Is it legal to use statistics off a copyright website?","<copyright>"
"Do email and SMS marketing laws prohibit a single invitation message if a person you know provides your phone number or email?","<email><tcpa>"
"Who owns copyright of Chaplin's movies (The Kid)","<copyright>"
"Am I liable if trespassers on my private property injure themselves?","<united-states><liability><georgia><trespass>"
"Are American ""no promo homo"" laws enforced?","<united-states><education>"
"Is there any ""delik aduan"" like laws in the west?","<criminal-law><comparative-law>"
"Can a spouse buy separate property in a community property state?","<united-states><texas><community-property>"
"Contradictory rulings by two circuit courts?","<united-states><us-supreme-court>"
"what prevents defence lawyer from colluding with plaintiff","<corporate-law><rules-of-court>"
"Window Tinting rules and laws in visiting jurisdictions","<united-states><canada><vehicle><interstate-travel>"
"In Australia, do laws prevent an employer stipulating the financial institution which your pay must be deposited into?","<employment><australia>"
"If I live in the US can I be prosecuted for answers describing illegal activities?","<united-states><freedom-of-speech>"
"Is there a good defense against libel if a fictitious character is clearly a ""composite?""","<united-states><libel>"
"Does Florida bankruptcy law apply to second homes?","<new-york><florida><bankruptcy>"
"The legal length of one month","<contract-law><england-and-wales><employment>"
"Were any laws broken in the publishing of Trump's tax returns?","<united-states><privacy><tax-law><new-york><freedom-of-speech>"
"In UK law how binding is judge precedent, and when can it be ignored?","<united-kingdom><judge><precedent>"
"Application to a new job requires applicant to solve a programing problem, what about intellectual property?","<intellectual-property><work-for-hire>"
"Diplomatic immunity and criminal acts","<criminal-law><international><diplomatic-immunity>"
"Would Siri making a doctor's appointment breach phone recording laws?","<recording><phonecall>"
"Is there a default copyright license on programming scripts released publicly on the internet without it's own license or one used by the website?","<copyright>"
"International law regarding human trafficing","<international>"
"Is the Loi Lamine Gueye- law n ° 46-940 of May 7, 1946 enacted by the French Parliament of any relevance today?","<international><france><citizenship><nationality>"
"Can a 15 year old transfer copyright?","<property><minor><england-and-wales><copyright-transfer>"
"Is the detainment and deportation of an established illegal alien in Canada lawful?","<canada><immigration>"
"File an injunction to stay a state law with doctor recommendation","<united-states><medical-marijuana>"
"What are the effects if a law changes while on trial?","<united-states><trial><legislature>"
"Should I put Copyright Notice on my content before I submit for copyright?","<copyright>"
"Does owning more than 50% of a company give you full rights to it?","<business>"
"How does the government define people who are not married but living together?","<united-states><marriage><us-federal-government>"
"Traffic court processing time","<traffic><alabama>"
"Employer failed to report my income or pay taxes. Do I have any rights to file a lawsuit?","<united-states><employment><tax-law><labor-law>"
"Will using a cover of a song in a film free me from legal obligations?","<copyright><licensing><india><music>"
"In which countries does the body of the dead become property of someone?","<property><comparative-law><death>"
"Is it legal to buy/sell a property through power of attorney?","<property><india><indian-constitutional-law>"
"Can a state agency, asserting ""equal footing"", ignore an order from a state court","<united-states><california><civil-law>"
"How unique does a name need to be in order to have it trademarked?","<business><trademark>"
"Does the US Government have the constitutional authority to ban alcohol?","<constitutional-law><us-constitution><alcohol>"
"How does one federal appellate court's decision affect other circuits?","<rules-of-court>"
"Darth Vader mask trademark copyright","<copyright><trademark>"
"Landlord illegally copied drivers licences; already going to court, what should I ask for?","<canada><rental-property><small-claims-court><british-columbia>"
"How should copyright be notified when the owner isn't the one publishing the material and wants to be ""left out""?","<copyright>"
"Does anyone know under which law can the British Home Secretary issue Laissez-passers","<united-kingdom><immigration>"
"Papal nuncios, diplomatic immunity, and canon law","<diplomatic-immunity>"
"Can jury nullification apply to a civil lawsuit?","<civil-procedure><jury-nullification>"
"To what extent can one claim copyright over a sound?","<copyright><music>"
"Can a person be prosecuted for unknowingly possessing illegal computer files?","<united-states><internet><software><child-abuse><cryptocurrency>"
"Using Intellectual property to develop software and making money off of it","<intellectual-property>"
"Can people use an LLC in Delaware to legally avoid tax in his home country?","<tax-law>"
"US: Is it legal to jam radio/cell communications if entirely confined to your own private property?","<united-states><radio>"
"Is direct voting of bills/laws by the people allowed in the consitution(US)?","<united-states><constitutional-law><legislature>"
"Can I rent my own property to myself and charge my employer?","<employment><rental-property>"
"Want to rent mother-in-law suite to short-term, vacation renters, what type of business should I establish to protect me?","<rental-property><insurance>"
"Software content library license requires ""including a valid copyright notice"". How does it limit my use?","<copyright><intellectual-property><software><eula>"
"In the eyes of the law, is a crime committed by a child too young to be charged, actually a crime?","<criminal-law><murder><children>"
"Why a civil court can order damages for killing a person?","<united-states><civil-law>"
"JASTA law, Justice Against Sponsors of Terrorism Act. What's next?","<international><civil-law>"
"Does studying philosophy make you a better law student more than other subjects?","<legal-education>"
"Does an apparently abandoned car become my property if it's parked on my land?","<property><vehicle><ownership><south-carolina>"
"Labor union for lawyers","<lawyer><labor-law>"
"US Federal law and/NC state laws concerning right to refuse service (NOT DISCRIMINATION)","<united-states><business><north-carolina>"
"Does uploading music to a site imply responsibility for copyright infringement?","<united-states><copyright><liability>"
"In Australia you can return/refund goods that were sold ""not fit for purpose"", is there an equivalent law covering leases?","<contract-law><real-estate>"
"What are the applicable laws for an educational app that teachers could promote in classrooms?","<united-states><education><disclaimers>"
"Are patent figures protected by copyright?","<copyright><patents>"
"What is preventing a person from harassing another with ridiculous law suits?","<rules-of-court><small-claims-court><charge-dismissed><harassment>"
"Is it ever legally beneficial for a third party to use symbols indicating intellectual property (©, ℗, ®, ™, ℠)?","<copyright><international><trademark>"
"Is it legally fine to name a project or a library with a famous person name?","<software>"
"Does EU sui generis database law protect only databases created in the EU or also foreign databases?","<intellectual-property>"
"How can the Nevada State Athletic Commission enforce the fines they give?","<nevada><sport>"
"House Insurance, fine art and ""Actual Cash Value""?","<contract-law><insurance>"
"How is the theft of stolen property handled legally?","<definition><theft>"
"In New South Wales, does the proportion of rent paid by co-tenants affect their legal rights?","<rental-property><australia>"
"How are US state laws that regard who can practice law constitutional?","<lawyer>"
"Are there laws prohibiting people from obstructing the view of an unmarked radar?","<traffic><australia>"
"Origin/purpose of ""Language"" section in legal agreements","<legal-history><legal-writing>"
"Is downloading a torrent chunk copyright infringement?","<copyright><canada>"
"Is downloading copyrighted music for private use legal in Canada?","<copyright><canada>"
"Is it legal for Americans to buy music/movies from those really cheap web sites based in Ukraine?","<united-states><copyright>"
"What if a lawyer steals my idea and doesn't do the work?","<contract-law><contract><breach-of-contract><professional-ethics>"
"Can a real-life example be used to describe the difference between common and civil law?","<civil-law><common-law><human-rights><interpretation>"
"Temporary theft, or, removing someones property to deliver it to their home or office","<criminal-law><united-kingdom><property><theft><vandalism>"
"Which Supreme Court justices have been the most anti-intellectual property?","<united-states><copyright><intellectual-property><us-supreme-court><court-records>"
"Why intellectual property and not just trade secrets?","<intellectual-property><secret>"
"Are there any US laws protecting journalistic sources?","<united-states><first-amendment><journalism>"
"How can the Belgium law allowing Belgium-funded research to be made open access be retroactive?","<international><belgium><publishing>"
"When is the law broken by a campaign that violates an electoral commission rule?","<criminal-law><united-kingdom>"
"Can I legally publish a compilation of copyrighted material without licence? How?","<united-states><copyright><european-union><fair-use><switzerland>"
"Does LLC protect from personal lawsuit","<contract-law><contract><liability><corporate-law><tort>"
