Title,Tags
"I'm looking for a credit card with daily purchase notifications","<credit-card><alerts>"
"Has the likelihood of getting a lower interest rate by calling & asking been reduced by recent credit card regulations?","<united-states><credit-card><legislation>"
"Asset allocation software: Application or tool to help me rebalance my investment portfolio?","<software><portfolio><asset-allocation><rebalancing>"
"Will cancelling department store credit cards improve my credit score?","<credit-card><credit-score>"
"How to do Credit Card debt consolidation or get rates lowered?","<credit-card><interest-rate><debt><debt-reduction><debt-restructuring>"
"Historical stock prices: Where to find free / low cost data for offline analysis?","<stocks><stock-exchanges><online-data-source><stock-valuation>"
"Will bonds (including international bonds) be able to offer more than 7% annual return?","<interest-rate><savings><bonds><australia><risk>"
"Where to find really good articles on stocks and general trading information?","<investing><stocks><options><trading>"
"Are these checks usable?","<banking><check>"
"Is my company 401k okay or should I be using an IRA?","<united-states><investing><retirement><401k><savings>"
"Should I switch to this high rate checking account for my emergency fund?","<banking><savings><emergency-fund><savings-account>"
"How are stock buybacks not considered insider trading?","<stocks><buybacks>"
"Selling property outside the US - gains are taxable, but how do they convert?","<united-states><income-tax><rental-property><foreign-currency>"
"Mortgage lenders asking questions about personal expenditure","<mortgage><loans><bank-account>"
"What box on my W-2 correlates to my ""earned income"" for purposes of EITC?","<united-states><401k><eitc>"
"Repairs to a house in order to rent it that were paid by the beneficiary, but is still owned by a Trust","<united-states><tax-deduction><rental-property><trusts><form-1099-misc>"
"Reporting closure of NRI/NRE/NRO bank account when filing US federal income tax","<united-states><income-tax><banking><bank-account><foreign-income>"
"What's the best way to deal with the market swings?","<investing><investment-strategies>"
"Nationwide FlexOne internationally","<united-kingdom><foreign-exchange><debit-card><germany><visa>"
"Do I need Personal Injury Protection if we have great health insurance?","<insurance><car-insurance>"
"Pay down a big loan or pay off a small one?","<united-states><interest-rate><student-loan><income-tax-refund>"
"Is it wise to invest in a stock with a large Div yield?","<stocks><stock-analysis><dividends><stock-valuation>"
"Estate agents faking offers on a property","<united-kingdom><real-estate>"
"Are class action settlements taxable as income in the United States?","<united-states><taxes>"
"How big is the tax penalty for a dual income couple?","<united-states><income-tax><marriage>"
"Should I use short term loans to pay for student loans?","<student-loan><debt-reduction>"
"Pension LTA (Life Time Allowance) limit criteria","<united-kingdom><pension><pension-sipp>"
"Are medical deductions and FSAs mutually exclusive?","<united-states><tax-deduction><fsa>"
"What exactly changes following a stock split? Why doesn't ""Shares"" (on the following SEC balance sheet) change?","<shares><stock-split>"
"How is non-deductible portion of Traditional IRA determined at time of withdrawal?","<united-states><ira><withdrawal>"
"Do I need ITIN as Japanese citizen to get my deposited money back?","<united-states><taxes><income-tax><itin>"
"Risks in investing savings into retail superannuation in Australia?","<taxes><investing><australia><risk><superannuation>"
"How does CD early withdrawal fee work?","<fees><certificate-of-deposit>"
"What taxes does a US citizen doing freelance work (self-employed) in the UK have to pay to the US government?","<united-states><taxes><united-kingdom><self-employment>"
"How to evaluate my mutual fund performance?","<mutual-funds><index-fund>"
"Can an undocumented immigrant in the US get a mortgage?","<mortgage>"
"How to report Canadian income from a small contract job?","<income-tax><canada><self-employment><contractor>"
"Is it sensible to keep savings in a foreign currency?","<united-kingdom><savings>"
"Is this retirement plan worth the risk?","<investing><retirement-plan><pension><european-union>"
"Is the beneficiary of life insurance responsible for the debt?","<united-states><life-insurance><new-york>"
"How to split stock earnings?","<stocks><investing>"
"Will I get a tax return if my bonus+regular paycheck brings me above a tax bracket for that month?","<united-states><income-tax><paycheck><bonus>"
"American expat living in Germany had no income in 2015, do I need to file US taxes for 2015?","<united-states><taxes><non-resident>"
"Investing in stocks & shares ISA- when to make deposits?","<investing><united-kingdom><starting-out-investing><deposits><isa>"
"What should I do about a dealer that took a deposit then sold my motorcycle to someone else?","<united-states><credit-card><dispute>"
"If my mortgage were to be foreclosed prior to completion of repayment, would I receive any cash value back for the payments I have made?","<mortgage><default>"
"Make 100k, how much mortgage can I get in NYC?","<mortgage><real-estate><new-york>"
"Do you pay less US income tax if you withhold more?","<united-states><income-tax><withholding><income-tax-refund>"
"UK Student Loan Repayments","<united-kingdom><student-loan>"
"Personal property insurance + travelling insurance + accident insurance + health insurance","<insurance><norway><finland><estonia>"
"Explain the HSI - why do markets sometimes appear in sync and other times not?","<united-states><stock-markets><china><world>"
"Buying a small amount (e.g. $50) of stock via eToro ""Social Trading Network"" using a ""CFD""?","<investing><stocks><trading><derivatives><cfd>"
"Closing on two mortgages (investment refi & primary home) -- is it ok to do them simultaneously?","<united-states><mortgage><real-estate>"
"What are the tax rules of owning a vacation rental property?","<united-states><real-estate><tax-deduction><rental-property>"
"Is lemonade insurance a de-facto mutual insurance company?","<insurance><limited-liability-company><law><legal>"
"Why do banks finance shared construction as mortgages instead of financing it directly and selling the apartments in a building?","<investing><mortgage><banking><real-estate><risk>"
"22-year-old inherited 30k from 529 payout - what is the best way to invest?","<united-states><investing><inheritance>"
"How to determine whether 1099-MISC income is from self-employment?","<united-states><income-tax><self-employment><form-1099-misc>"
"I'm under contract for a house, but I'm moving away suddenly. Still purchase as an investment?","<united-states><mortgage><rental-property><home><colorado>"
"Tax Benefits of Business Paying for Personal Rent","<united-states><taxes><small-business><rent><expenses>"
"Schedule C: where to deduct service fees on income?","<united-states><taxes><self-employment><schedule-c>"
"Does a market maker make any money in a liquid asset with tight bid ask spread","<stock-markets>"
"How do I use the voting rights associated with my U.S. shares?","<united-states><shares>"
"Do US mutual funds and ETFs pay taxes on dividends?","<united-states><taxes><mutual-funds><etf><dividends>"
"How does AMT/state taxes work for stock options in California?","<united-states><taxes><options><california><employee-stock-options>"
"Is it legal to sell my stock at any specified price to a specified person in US Market?","<united-states><taxes><stocks>"
"Self directed IRA holds income property that generates cash flow. Can we withdraw based on wife's age?","<united-states><ira><withdrawal><self-directed-ira>"
"Can cancelling of the newly opened credit cards increase a credit score?","<credit-card><credit-score>"
"Does investing in a company support it?","<stocks>"
"How can I get free or discounted checks for my bank account?","<banking><bank-account><personal-check><check>"
"Debit/Credit confusion","<accounting><terminology>"
"How would I categorise a personal account?","<accounting><terminology>"
"Paying UK tax when working remote for a US company","<taxes><united-kingdom><employment>"
"How to set up my business as a self-employed contractor","<united-states><taxes><small-business><incorporating><new-york>"
"How do you typically pay a deposit for a house?","<united-kingdom><household>"
"Advice on replacing my savings account","<investing><savings><mutual-funds>"
"What is a best way to take earned money from abroad to India?","<income-tax><united-kingdom><india><money-transfer>"
"Brokerage's calculation of my profits or losses on stock trades","<united-states><taxes><stocks><brokerage>"
"Mortgage loan and move money to US","<united-states><mortgage><real-estate><irs><fbar>"
"Can my employer change wage rates based upon medical coverage choices?","<united-states><healthcare><health-insurance>"
"Ready to invest but I'm overwhelmed with the number of brokers and services","<stocks><united-kingdom><bonds><broker><pension>"
"Does VSMAX invest in smaller companies than FSEVX?","<mutual-funds><index-fund><market-indexes>"
"Is there a reciprocal agreement between US and UK for credit on social security taxes?","<taxes><united-kingdom>"
"401k vs. real estate for someone who is great at saving?","<united-states><401k><real-estate>"
"Can I go beyond my 15% contribution cap when I start contributing to 401k in fourth quarter?","<401k>"
"Is there a lower threshold for new EU VAT changes coming 1 Jan 2015 related to the sale of digital goods?","<united-kingdom><european-union><vat>"
"How does a delta neutral portfolio make money","<options>"
"Any minimum 1% tax on taxable-income for low bracket and large capital gains?","<united-states><taxes><capital-gains-tax>"
"Interpreting mortgage rates","<mortgage><mortgage-qualification><mortgage-rate>"
"Is there a time limit on claiming medical expenses for HSA?","<united-states><hsa>"
"Do I need to bargain with my credit card customer service for better offers?","<credit-card>"
"Are contributions to ROTH IRA/401k effectivly bigger then to IRA","<united-states><401k><ira><roth-ira><roth-401k>"
"Analyze stock value","<stocks><investing><historical-data><yahoo-finance>"
"Why are exchange rates fixed for prolonged periods of time?","<foreign-exchange><eur-euro>"
"Does keeping 'long-term' safety net in bonds make sense?","<united-states><savings><emergency-fund>"
"Do I need to pay income tax for money earned in the U.S. & transferred to my account in India?","<united-states><taxes><income-tax><india>"
"Huge return on investment, I feel like im doing the math wrong","<stocks><rate-of-return>"
"International Student in United Kingdom eligible to Invest","<united-kingdom><investing>"
"If a startup receives investment money, does the startup founder/owner actually gain anything?","<stocks><investing><start-up>"
"Does the following kind of retirement product exist?","<retirement><insurance><retirement-plan>"
"How to choose basic health insurance in the Netherlands?","<health-insurance><rebate><netherlands>"
"How (or is it necessary) to rebalance a 401k with only one index fund?","<united-states><401k><index-fund><rebalancing>"
"First time homebuyer/investor: How to best allocate money towards paying off mortgage?","<united-states><mortgage><mutual-funds><starting-out-investing><first-time-home-buyer>"
"What is the fair value of a stock given the bid and ask prices? Is there such a relationship?","<stock-analysis><price><quotes><market-order>"
"How do I dispose of my old checks?","<united-states><check><document-retention>"
"How is option margin determined by my broker","<investing><margin>"
