Title,Tags
"Value of contributions to Wikipedia when applying for academic jobs","<phd><job-search><job><wikipedia>"
"How important are poster sessions in conferences?","<conference><poster><workshop>"
"How (un)usual is changing fields?","<career-path><changing-fields>"
"How do ""scientific couples"" (from different fields) find positions?","<career-path><two-body-problem>"
"Will delaying entering grad school for a year to pursue study abroad put one at a strong disadvantage?","<graduate-admissions><undergraduate><industry>"
"Towards a Stackexchange-like comment/reputation system for research papers","<publications><journals><bibliometrics><impact-factor><reputation>"
"Determining common knowledge in an unfamiliar field","<citations>"
"Should recommendation letters be from the home university of a student?","<graduate-school><recommendation-letter>"
"What is research, specifically in Computer Science?","<graduate-school><publications><research-process><masters>"
"How to find response time for a given journal in engineering?","<journals><peer-review>"
"Good resource/advice on mentoring undergrads","<mentoring>"
"Under what circumstances can one republish a conference paper/presentation?","<publications><journals><conference><peer-review>"
"How to let a journal know that its submission process is very painful?","<publications><journals>"
"Acknowledging funding","<publications><etiquette><funding>"
"Benefit of a 1-year MSc in Comp Sci in the UK","<graduate-school><masters>"
"How hard is it to get an academic position in Australia/New Zealand with a PhD from the US?","<job-search><united-states><australia><new-zealand>"
"Having preferred and non-preferred reviewers in journal submissions","<publications><journals>"
"When should one opt for a one-year master's program in the US?","<graduate-school><graduate-admissions><masters>"
"Mentioning other people's error in talk","<publications><conference><errors-erratum>"
"Where to upload/publish gigabytes of experiment data","<publications><data><online-publication>"
"Thesis: supervisor's project or my project?","<phd><thesis><advisor>"
"Have a job, but might not finish Ph.D. on time.","<career-path><job-search><job>"
"Why do predatory journals invite people to editorial boards?","<disreputable-publishers>"
"Is a PhD in a specific field of mathematics (combinatorics) instead of a mathematics PhD disadvantageous in faculty applications?","<phd><mathematics><faculty-application>"
"I regret publishing a sloppy conference paper","<publications><errors-erratum>"
"How important is the choice of dissertation committee?","<thesis-committee><defense>"
"Is it ok to give your Old Assignments to others?","<university><plagiarism><legal-issues><projects>"
"Double-blind review: submit a follow-up paper in a very short time","<publications><peer-review><conference><anonymity>"
"Can a response paper agree with the initial paper, or must it disagree?","<publications>"
"150%, 1.5 times, 1.5× or 1.5-fold","<writing><writing-style>"
"What is considered ""completed work"" for a conference submission","<peer-review><conference><paper-submission><economics>"
"What are some of the task planning tools people use in academia?","<productivity>"
"Why is my published article seemingly not indexed by Google or Google Scholar?","<publications><literature-search><google-scholar>"
"PhD or physics as a hobby?","<phd><early-career>"
"Conference submission while article under review for journal","<peer-review><ethics><conference><paper-submission><self-plagiarism>"
"Should I (student) share my data with a researcher I don't know directly?","<publications><ethics><data>"
"How to handle newly discovered problems in second and third round reviews","<peer-review><editors>"
"How common is it for journal to reject a solicited paper?","<peer-review><rejection><invited-paper>"
"How to increase my collaboration ""network"" as a new faculty?","<mathematics><collaboration><networking>"
"Is it reasonable to say I'm not happy at my current position at interviews?","<career-path><postdocs><interview><early-career>"
"Dealing with a PhD student reneging on an agreement to appear in social media","<phd><advisor><interpersonal-issues><supervision><social-media>"
"Does social media and mainstream presence, through interviews and publishing in the ""trade press"", help one's chances at tenure?","<tenure-track><social-media><self-promotion><outreach>"
"Are pay announcements worth their price to hire people?","<career-path><job-search><job><announcements>"
"How should a PhD student approach a collaboration?","<phd><publications><cv><authorship><collaboration>"
"Can international students in USA intern in summer in industry?","<phd><internship><international-students>"
"Graduate early with average GPA, or later with better GPA?","<graduate-school><graduate-admissions><undergraduate><grades><preparation>"
"Incentives for professors to write recommendation letters","<professors><recommendation-letter>"
"What to do if asked to write a letter of recommendation for a weak candidate?","<recommendation-letter>"
"What to do when principal investigator publishes your work without putting you down as a coauthor?","<publications><copyright>"
"What is a ""full-time teaching faculty"" (and does advising count)?","<professors><job><teaching>"
"What's the best way to share my presentation slides online?","<online-resource><presentation>"
"In the social sciences, is it easier to get a post doc than a PhD?","<phd><application><postdocs>"
"Are there any decent online undergrad computer science degrees or courses","<distance-learning><online-learning>"
"Is it desirable to compliment a seminar speaker before asking a question?","<etiquette><seminars>"
"Is it acceptable to extend results from an arXiv paper that has not appeared in a journal?","<publications><etiquette><arxiv>"
"Organizing my reading list in Mendeley","<reading><literature><reference-managers>"
"Are there any specific teaching techniques to handle ""virtual"" classroom sessions?","<teaching><training>"
"What does ""tenure"" mean?","<job><job-search><university><tenure-track>"
"How to ensure proper peer-review for a self-published book?","<publications><peer-review><books>"
"Factors determining a feasible research field","<publications><research-process>"
"When should an author retract their paper as a result of misinterpreted results?","<publications><journals><ethics><retraction><errors-erratum>"
"What is the purpose of the weekly research meetings that advisers often have with their research group?","<graduate-school>"
"Is it acceptable to post a brief and speculative paper on ArXiv?","<arxiv>"
"How to satisfy PhD requirement that publications be available online when papers have been only just been accepted?","<social-media>"
"Unusual funding issue -- what are my good next steps?","<phd><graduate-admissions><graduate-school><funding>"
"How to cite and build on the work of another paper that is still under peer review?","<citations><journals>"
"Is an internship in theoretical physics valuable for me?","<physics><internship>"
"What to do when you are a finalist for a tenure-track position but you want to wait until you complete interviews at other schools?","<tenure-track>"
"Does suggesting potential reviewers for one's submitted paper increase the likelihood of the paper being accepted?","<publications><peer-review><reference-request>"
"Review time for IEEE transactions on image processing","<journals><ieee>"
"Want to do mathematical physics - if first choice dept not a good fit, can I switch?","<graduate-admissions><mathematics><physics>"
"How can I re-use someone's mathematics thesis without plagiarizing?","<citations><ethics>"
"Grad Application: Research Experience without Letter of Recommendation","<graduate-admissions><cv><recommendation-letter>"
"Advisor suggesting my marriage may cause problems in Postdoc position search","<job-search><workplace>"
"Open Source Software and Reproducibility in Computer Science","<peer-review><computer-science><plagiarism><reproducible-research>"
"Why would a grad school not want me to defer admission?","<graduate-admissions><computer-science><online-learning><deferral>"
"Can I accept two federal fellowships simultaneously and defer one?","<graduate-school><funding><united-states><nsf><deferral>"
"Erratum on my bachelor Thesis","<thesis><errors-erratum><bachelor>"
"How do I effectively solicit a strong letter of recommendation from a professor?","<recommendation-letter>"
"Undergraduate research in math, but no research paper, will this hurt me in graduate admissions?","<graduate-admissions><mathematics><research-undergraduate>"
"How to attract good teachers to a young university?","<teaching><university><recruiting>"
"Principal investigator requests transfer of GitHub repository with my code to his account","<intellectual-property><code>"
"Does age matter to get a job/postdoc?","<postdocs><age>"
"Advisor asking me to use my grant to cover his orders","<advisor><funding>"
"How can I find the first researcher who wrote about a specific subject","<publications><thesis><citations>"
"How should I take a potential PhD supervisor's age into account, when planning to follow PhD with habilitation?","<phd><advisor><supervision><age><habilitation>"
"Academic Hiring Process and Practices for Junior Professors in Germany","<job><germany>"
"Professor won't comment on research in his recommendation","<recommendation-letter>"
"Things to focus on in a model lesson","<teaching><presentation><interview><lecturer>"
"Do universities hire graduates from lesser universities","<professors><job-search><ranking>"
"PhD in Europe without scholarship from non-European homeland","<phd><funding><europe>"
"Returning to a different field in academia after industry","<phd><career-path><postdocs><industry>"
"Must I reference resources for definitions I express with my own words?","<citations>"
"Correspondence articles, do you put them in the CV?","<cv><correspondence>"
"Are there any journals or conferences that take into account the availability of the source code when selecting the papers to publish?","<journals><conference><open-science>"
"How can I export my Google Scholar Library as a BibTeX format?","<citations><website><tools><bibtex><google-scholar>"
"What should I do if a coauthor, who has contributed the most among my coauthors, declined to be listed as a coauthor?","<ethics><authorship>"
"Proper way to format computer code included in a thesis/dissertation","<thesis><code><formatting>"
"What is the difference between a research paper and a student paper?","<conference>"
"Accepting an Assistant Professor position at a low ranked university","<job-search><assistant-professor>"
"How to write a good essay for phD application?","<phd><graduate-admissions><statement-of-purpose>"
"Will a masters degree from Japan be seen as less valuable?","<masters><career-path><engineering><student-exchange><japan>"
"Visiting assistant professor position vs Post-doc position","<phd><job-search><faculty-application>"
"Presentation: Is using cartoon slides un-professional or fun?","<presentation>"
"How to confront new office mate regarding personal hygiene?","<research-process><graduate-school><collaboration><interpersonal-issues>"
"Have I given my PhD supervisor enough time to react to serious issues before raising it above their head?","<phd><advisor>"
"How common is it for a professor to require students to work for him?","<graduate-school><advisor><ethics><computer-science><industry>"
"Applying to do a PhD after a(n unsuccessful) period of job hopping","<phd><application><cv><industry><rejection>"
"How well is ""I want to do research at a big company"" received during a PhD application?","<phd><industry><interview>"
"Asking a complete stranger for a subreview for a conference?","<peer-review><conference><etiquette><program-committee>"
"How important is it to submit papers early to a conference?","<conference><paper-submission>"
"I don't want to kill any more mice, but my advisor insists that I must in order to get my PhD","<phd><advisor><ethics><interpersonal-issues><biology>"
"I came across plagiarism. Whom should I inform if at all?","<plagiarism><books><publishers>"
"Is it okay to share work submitted for undergraduate assessment online?","<undergraduate><copyright><cheating>"
"Would a professor write a bad letter of recommendation?","<professors><recommendation-letter>"
"How to increase your academic network through email","<email><networking>"
"How to present ongoing dissertation research and get feedback on a one-on-one basis?","<phd><research-process><thesis>"
"Making latex sourcefiles publicly available by default","<publishers><legal-issues><preprint>"
"What are the archiving policies of arXiv?","<arxiv><backup-archiving>"
"Contact the editor on the acceptance chances of my article","<publications><peer-review><editors>"
"Fine line between ""figuring it out on my own"" and ""asking for help"" in research labs?","<research-process><supervision>"
"Do PhD advisors allow students to collaborate with faculty from other institutions?","<phd><research-process><graduate-school><collaboration>"
"Does an updated chapter in a book count as a new publication?","<publications><books><bibliometrics>"
"How to reconcile with an old mentor after (unintentional) plagiarism accusations","<advisor><plagiarism>"
"How should I handle poor English in reviewing an article that claims to be proofread by two native English speakers?","<peer-review><language>"
"How to sort issues over authorship in my manuscript with PhD supervisor?","<publications><phd>"
"How to handle authorship issues in an international multidisciplinary collaboration?","<authorship><international>"
"Improve software code when reviewing paper","<peer-review><code>"
"Are there any undergraduate research programs available online?","<research-process><university><research-undergraduate><online-resource><online-learning>"
"Academia research vs. industry research (computer science)","<computer-science><industry>"
"Is it ethical for a professor to get masters students to work on open source modules related to the professor's profit-making company?","<thesis><masters><ethics><professors><advisor>"
"What action to take when questions regarding a published paper are ignored by its author?","<publications>"
"I want to do research but I'm too old for a PHD","<phd><age>"
"How to verify academic history and degree?","<university><degree><academic-history>"
"Email to a professor after long time for recommendation","<recommendation-letter>"
"Is it common to include foreign terms in the title of a thesis?","<research-process><thesis><translations>"
"In writing a paper, how far can criticism of previous works go?","<publications><journals><writing><ethics>"
"How can I stay active in academia from an industry position?","<industry>"
"Is there any level or tiers in conferences or all conferences are of same level?","<research-process><conference>"
"Is there any disadvantage to having PhD skipping M.Sc.?","<phd><research-process><job><etiquette>"
"Dismissed by my committee","<phd><thesis><university><advisor><disability>"
"How to ask someone (outside the department) to be on the thesis committee","<graduate-school><advisor>"
"PhD thesis layouts from around the world","<phd><publications><thesis>"
"Is there any disadvantage to having PhD from a non-main campus?","<phd><graduate-school><research-process><education>"
"Is research experience in a different field relevant for PhD application?","<graduate-admissions><research-undergraduate><changing-fields>"
"How do you cite an internal report?","<publications><research-process><journals><etiquette>"
"How to annotate/summarize research papers for long-term retrieval?","<note-taking><literature>"
"When someone says a paper is published ""in Nature"", does that mean it's published in *Nature*?","<publications><journals>"
"How to mark/cite text that you only translated?","<citations><translations>"
"Device for writing a lecture with a stylus for video lecture recording","<teaching>"
"How does one issue a call for papers on military history?","<conference><publications>"
"How to maximize performance in social science PhD program?","<phd>"
"How to create PDF of slides with audio?","<teaching><presentation><slides><audio-video-recording>"
"How to create HTML Slides with audio for online lectures?","<teaching><presentation>"
"How successful would one be in switching fields from PhD in computational biology/neuroscience to postdoc in computer science?","<career-path><postdocs><changing-fields>"
"E-mail address to use in publications","<publications><authorship><email><correspondence>"
"Is it safe to post my CV online?","<cv>"
"Switching from academia to industry-software","<academic-life><industry>"
"Is there a general rule for whether adjuncts who are regular faculty in other departments can supervise grad students?","<graduate-school><united-states><adjunct-faculty>"
"How to acknowledge a translator on a letter of recommendation?","<recommendation-letter><translations>"
"Is it okay to ask a journal for review reports as they are available?","<journals><paper-submission><journal-workflow>"
"Removed as Co-Author for Resubmission","<publications><peer-review><authorship><research-undergraduate>"
"How far should you go in compromising your work to get it published?","<publications><peer-review><publishers>"
"Is it OK to review a paper which builds on my work?","<peer-review><conflict-of-interest>"
"Reproducible and exact calculations vs. approximate and slightly random results in experiment","<publications><research-process><code><reproducible-research><experiment-design>"
"Are fixed-term research funded staff such as post-docs entitled to redundancy rights, such as severence pay at end of contract?","<postdocs><united-kingdom>"
"Why would the review system status go from ""awaiting recommendation"" back to ""awaiting referee assignment""?","<journals><peer-review><editors><philosophy>"
"Can you still do a postdoc if you definitely don't want to become a professor? Will your advisor think less of you for doing so?","<advisor><postdocs><professors>"
"Can I help the impact factor of a journal by citing my own papers?","<journals><impact-factor>"
"Using masters lab colleagues as references for PhD application?","<phd><application><colleagues>"
"What if your advisor does not know anything about your research field?","<phd><research-process><mathematics><advisor><career-path>"
"Do professors need to use up their grant money in a fixed period of time?","<funding>"
"When is applying for a postdoc too early or too late?","<job-search><postdocs>"
"Rules of thumb: when do you really hear good/bad news from NSF unsolicited proposals","<nsf><research-proposal>"
"Part-time work and extra-curriculars on Master's application CV to explain an average GPA?","<application><cv>"
"Do online courses and certificates actually count toward University credits?","<online-learning><online-degree><certification>"
"Is it tacky to note awards on a conference poster?","<conference>"
"The best way to thank my research supervisor?","<graduate-admissions><research-process><graduate-school><advisor><application>"
"What's the proper order for multiple educational degrees/certificates?","<education><personal-name><certification>"
"Is it normal that a peer reviewer would ask for an executable file in order to check my results?","<journals><peer-review><computer-science><paper-submission><review-articles>"
"What should I do if someone is claiming my research on ResearchGate?","<publications><authorship><social-media>"
"Should former group member be included as a co-author in a follow-up to his work?","<authorship>"
"Referencing the reference?","<publications><citations>"
"What should you do if a co-author has an unethical affiliation?","<publications><phd><advisor><affiliation>"
"How to proceed when you are coordinating a project among several research groups and they do not contribute to the progress of the project","<professors><projects><research-group>"
"What is a good way of getting peer feedback on my draft cover letter?","<job-search><feedback><application-cover-letter>"
"Are endorsed undergraduates eligible to submit papers (and eventually get it accepted) to arXiv?","<arxiv>"
"Top-down vs Bottom-up approaches in describing an algorithm in a research paper","<writing><writing-style>"
"Why is dental school a separate thing from medical school?","<united-states><medicine>"
"Does doing a PhD in a small/simple university make sense after getting a Master's from a very prestigious school?","<phd><masters><reputation><electrical-engineering>"
"Should I share my extensive notes summarizing literature in my field?","<note-taking><blog>"
"Early career advice for Jr. Researcher on selectivity of authorship credit for collaboration in areas outside one's specialization","<publications><collaboration><reputation><early-career><retraction>"
"Could somebody tell me what's this degree in maths called in EU or USA?","<mathematics><degree><translations>"
"Will a post on arXiv as a high school sophomore hurt my future academic life?","<mathematics><arxiv><independent-researcher>"
"Why doesn't a master's thesis get read by a PhD admissions committee?","<phd><graduate-admissions><research-process><thesis><masters>"
"Can a professor force me to submit my incomplete paper to a journal?","<journals><paper-submission><coursework>"
"Logistics of co-authorship for assisting business","<publications><authorship>"
"How to explain an unofficial research sabbatical on my CV?","<cv><sabbatical>"
"How can I do solid, publishable research without having a postdoc position?","<publications><postdocs><early-career>"
"Uploading a 7 years old published conference paper on arXiv","<publications><conference><arxiv>"
"Can I submit my old PhD thesis to arxiv with the date set to its original submission date?","<publications><thesis><arxiv>"
"How to address a doctoral candidate who is ABD (All but Dissertation)? Is ""Dr"" appropriate?","<phd><titles><all-but-dissertation>"
"What to wear for a PhD/ MSc thesis defense?","<masters><defense><outward-appearance>"
"Is it a bad idea to express my personal feelings about the subject when writing email to a professor for PhD application?","<phd><graduate-admissions><application><email>"
"Advisable to visit other labs?","<phd><graduate-school><advisor><collaboration><visiting>"
"What is considered a good GPA for studies in Germany","<phd><graduate-admissions><graduate-school><germany><gpa>"
"Is it a good idea to submit paper which is shorter than conference's page limit","<publications><conference><peer-review><paper-submission>"
"How to address a knighted academic?","<titles><correspondence>"
"Can an online degree through an accredited institution affect admissions into masters programs abroad?","<masters><computer-science><graduate-admissions><abroad><online-degree>"
