Title,Tags
"Can I legally forward a work email to my personal email?","<european-union><email>"
"Subletting terms","<residential-lease><rent>"
"How liable is a seller that was unknowingly paid using stolen funds?","<fraud><finance>"
"How is the ""Allow States and Victims to Fight Online Sex Trafficking Act of 2017"" constitutional?","<united-states><constitutional-law><us-constitution><first-amendment><congress>"
"Discovery of evidence seized in a criminal investigation","<united-states><criminal-law><civil-procedure><discovery>"
"Hate-Speech website hosted in the USA, but targeting an audience overseas","<freedom-of-speech><ixl>"
"GDPR Compliance - does it extend to database backups and archived records?","<gdpr>"
"""And will"" in Miranda Rights","<united-states><miranda-warning>"
"As a web and mobile (iOS and Android) developer, how do I discover if GDPR applies to a user?","<software><gdpr>"
"""Geographical limitation"" in the 1951 Refugee Convention?","<international>"
"What did Learned Hand mean by 'whether the best mood or habit is not that' and 'all specific choices may be momentous'?","<judge><professional-ethics>"
"Were two black men legally removed from a Philadelphia Starbucks?","<united-states><equity>"
"Uploading images of music notation: Do we violate copyright laws?","<copyright><music>"
"What are the laws regarding compiling SE answers and selling them for money?","<intellectual-property><civil-law><theft>"
"Are there any kinds of laws that prohibit personally harmful speech?","<criminal-law><freedom-of-speech><comparative-law>"
"Using student directory photos","<ferpa><united-states>"
"Does attorney-client privilege protect a client who lies about his attorney?","<attorney-client-privilege>"
"Does killing witnesses before trial suppress them?","<criminal-law><evidence><trial><witnesses>"
"What kind of ownership do I have over articles I wrote?","<copyright><european-union><intellectual-property>"
"What is the authority of the clerk of court?","<united-states><court>"
"Section 3A of the United Kingdom's Computer Misuse Act 1990","<united-kingdom><computer-misuse-act>"
"Is there any way to bring a criminal case before the grand jury without the support of the Prosecuting Attorney?","<criminal-law><united-states>"
"Requirement of attribution when reusing Wikipedia articles licensed under CC BY-SA","<united-states><copyright><creative-commons>"
"How to prevent/protect my rights to content I write (US)","<united-states><copyright>"
"My company handed me a letter today telling me I owe them money because they overpaid me. Do I legally have to pay them?","<united-states><labor-law><salary>"
"Requirements for Creative Commons Images Attribution - Website","<creative-commons>"
"Can residences be repossessed as with other real property?","<property><repossession><ownership>"
"Can official information protected by attorney-client privilege be shared with personal lawyer?","<united-states><attorney-client-privilege>"
"Why can't a party raise new arguments in United States court of appeals?","<united-states><rules-of-court>"
"Under what circumstances am I obliged to show ID to a police officer?","<united-kingdom><police>"
"What legal standing do non-compete clauses have in employment contracts?","<employment><competition>"
"Is “do not resuscitate” on a t-shirt a legal order?","<united-states><health>"
"When is ignorance a legal defense?","<united-states><legal-concepts>"
"Has a common law defence ever held water?","<united-kingdom><common-law><driving><magna-carta>"
"Can a landlord request personal info after a lease is signed?","<rental-property><residential-lease><maryland>"
"How can I declare independence from the United States and start my own micro nation?","<united-states><sovereignty>"
"What are the best defenses to an unlawful eviction action by a landlord?","<united-states><contract-law><california><rental-property>"
"If an adult is raped by a minor, is it statutory rape?","<united-states><criminal-law><new-york><legal-terms><rape>"
"If I am employed in the UK but WFH from another country, am I a UK tax resident?","<united-kingdom><employment><tax-law>"
"What Wi-FI SSID names are forbidden in France?","<internet><france>"
"If an email I received mentions that copying or forwarding is forbidden, can I still legally do so?","<united-states><email>"
"Would free taxi/uber rides for voters be a violation of 18 U.S. Code § 597 - Expenditures to influence voting?","<elections>"
"Could a person of one race legally identify as another?","<united-states>"
"After purchasing an item, then being issued a refund the item then arrived","<united-kingdom><business><consumer-protection>"
"USA: Is it legal to take naked non-abusive pictures of my child?","<child-abuse><pornography>"
"Can I work on patent-infringing software in private, then release it when said patent expires?","<united-states><software><patents><open-source-software>"
"Is it legal to lend out your computer with licensed software installed on it?","<intellectual-property>"
"Purchased property with incomplete Buildings Regulations UK","<united-kingdom><property>"
"What is the difference between Libel and Libel Per Se?","<legal-terms><defamation><libel><definition>"
"Can a Californian be in legal trouble for physically restraining a dangerous child not his own?","<united-states><california><children>"
"What does ""No later than midnight of a day"" mean?","<contract>"
"What does (...) mean in a legal document","<contract-law>"
